,호선명,지하철역,위도,경도,상세주소,승강장연결 여부,스크린도어 유무
0,01호선,가산디지털단지,37.481072,126.882343,서울 금천구 가산동 371-28,1,1
1,01호선,개봉,37.494594,126.85868,서울 구로구 개봉동 415,1,1
2,01호선,광운대,37.623632,127.061835,서울 노원구 월계동 85,1,0
3,01호선,구로,37.503039,126.881966,서울 구로구 구로동 589-14,1,1
4,01호선,구일,37.496756,126.870793,서울 구로구 구로동 636-45,1,1
5,01호선,금천구청,37.455626,126.89398,서울 금천구 시흥동 113-55,1,0
6,01호선,남영,37.541021,126.9713,서울 용산구 갈월동 96-1,1,1
7,01호선,노량진,37.514219,126.942454,서울 동작구 노량진동 67-2,1,0
8,01호선,녹천,37.644799,127.051269,서울특별시 도봉구 덕릉로 376,1,0
9,01호선,대방,37.513342,126.926382,서울 영등포구 신길동 1368-3,1,1
10,01호선,도봉,37.679563,127.045595,서울 도봉구 도봉동 639,1,0
11,01호선,도봉산,37.689313,127.046222,서울 도봉구 도봉동 18-1,1,0
12,01호선,독산,37.466613,126.889249,서울 금천구 가산동 717,1,1
13,01호선,동대문,37.57142,127.009745,서울 종로구 종로6가 94-1,1,1
14,01호선,동묘앞,37.572627,127.016429,서울 종로구 숭인동 296-24,1,1
15,01호선,방학,37.667503,127.044273,서울 도봉구 방학동 728,1,1
16,01호선,서울,37.554648,126.972559,서울 중구 봉래동2가 166,1,1
17,01호선,석계,37.614805,127.065851,서울 성북구 석관동 375-15,1,0
18,01호선,시청,37.564718,126.977108,서울 중구 을지로1가 50-1,1,1
19,01호선,신길,37.517122,126.917169,서울 영등포구 신길동 41-1,1,0
20,01호선,신도림,37.508725,126.891295,서울 구로구 신도림동 460-26,1,1
21,01호선,신설동,37.575297,127.025087,서울 동대문구 신설동 102-21,1,1
22,01호선,신이문,37.601854,127.067325,서울 동대문구 이문동 360-1,1,1
23,01호선,영등포,37.515504,126.907628,서울 영등포구 영등포동 618-496,1,1
24,01호선,오류동,37.494526,126.845365,서울 구로구 오류동 66,1,0
25,01호선,온수,37.492258,126.823388,서울 구로구 온수동 53-13,1,1
26,01호선,외대앞,37.596073,127.063549,서울 동대문구 이문동 360-9,1,0
27,01호선,용산,37.529849,126.964561,서울 용산구 한강로3가 40-999,1,1
28,01호선,월계,37.633212,127.058831,서울 노원구 월계동 263-6,1,0
29,01호선,제기동,37.578103,127.034893,서울 동대문구 용두동 47-1,1,1
30,01호선,종각,37.570161,126.982923,서울 종로구 종로1가 54,0,1
31,01호선,종로3가,37.571607,126.991806,서울 종로구 묘동 20-5,1,1
32,01호선,종로5가,37.570926,127.001849,서울 종로구 종로5가 82-1,1,1
33,01호선,창동,37.653166,127.047731,서울 도봉구 창동 135-1,1,1
34,01호선,청량리,37.580178,127.046835,서울 동대문구 전농동 588-1,1,1
35,01호선,회기,37.58946,127.057583,서울 동대문구 휘경동 317-101,1,1
36,02호선,강남,37.497175,127.027926,서울 서초구 서초동 1374,1,1
37,02호선,강변,37.535095,127.094681,서울 광진구 구의동 546-6,1,1
38,02호선,건대입구,37.540693,127.07023,서울 광진구 화양동 6-4,1,1
39,02호선,교대,37.493415,127.01408,서울 서초구 서초동 1672-9,0,1
40,02호선,구로디지털단지,37.485266,126.901401,서울 구로구 구로동 810-3,1,1
41,02호선,구의,37.537077,127.085916,서울 광진구 구의동 245-24,0,1
42,02호선,까치산,37.531768,126.846683,서울 강서구 화곡동 662-5,1,1
43,02호선,낙성대,37.47693,126.963693,서울 관악구 봉천동 1693-39,0,1
44,02호선,당산,37.53438,126.902281,서울 영등포구 당산동6가 323-1,1,1
45,02호선,대림,37.49297,126.895801,서울 영등포구 대림동 1052-32,1,1
46,02호선,도림천,37.514287,126.882768,서울 구로구 신도림동 271-11,1,1
47,02호선,동대문역사문화공원,37.565138,127.007896,서울 중구 을지로7가 132-2,1,1
48,02호선,뚝섬,37.547184,127.047367,서울 성동구 성수동1가 656-745,0,1
49,02호선,문래,37.517933,126.89476,서울 영등포구 문래동3가 68-1,0,1
50,02호선,방배,37.481426,126.997596,서울 서초구 방배동 912-14,0,1
51,02호선,봉천,37.482362,126.941892,서울 관악구 봉천동 979-7,1,1
52,02호선,사당,37.47653,126.981685,서울 동작구 사당동 1129,0,1
53,02호선,삼성,37.508844,127.06316,서울 강남구 삼성동 172-66,1,1
