,출근출발_EE,출근출발_EH,출근출발_EW,출근출발_HE,출근출발_HH,출근출발_HW,출근출발_WE,출근출발_WH,출근출발_WW,출근도착_EE,출근도착_EH,출근도착_EW,출근도착_HE,출근도착_HH,출근도착_HW,출근도착_WE,출근도착_WH,출근도착_WW,퇴근출발_EE,퇴근출발_EH,퇴근출발_EW,퇴근출발_HE,퇴근출발_HH,퇴근출발_HW,퇴근출발_WE,퇴근출발_WH,퇴근출발_WW,퇴근도착_EE,퇴근도착_EH,퇴근도착_EW,퇴근도착_HE,퇴근도착_HH,퇴근도착_HW,퇴근도착_WE,퇴근도착_WH,퇴근도착_WW,읍면동
168,4787,2003,2105,31425,1761,128723,1855,1096,1807,3673,4452,2481,13407,1329,45599,1615,2827,1730,16952,25425,3428,29473,3139,8985,10020,28025,3344,18574,48438,4472,14457,4352,4571,8651,76634,3639,삼전동
169,1636,1162,1016,3636,172,7024,699,653,627,3216,489,1834,9311,141,37977,1601,183,939,25878,17928,2829,3498,236,710,8774,21979,1958,16593,5770,1224,4939,163,624,5819,4480,701,삼청동
170,1596,819,819,10992,1129,36294,560,671,944,1542,1552,593,9652,820,22006,848,831,830,11332,19627,2292,8532,2040,2525,2942,12565,2386,9725,16790,1865,9922,2347,3643,5182,21002,2598,상계10동
171,4803,3695,2032,37939,1276,125300,1870,1632,1710,3504,4109,2000,20830,1166,42130,1637,2991,1365,14346,32831,3628,25036,2370,7283,6957,24123,2252,17677,54810,3845,16838,2492,3874,10691,72220,3249,상계1동
172,5203,4247,2890,32756,2678,114579,2064,3277,2510,5197,4374,2488,31669,2477,75722,2155,3656,2223,37281,82552,8263,24096,6049,8612,9616,47688,5370,47779,46322,6992,58734,5628,15574,38494,69125,9809,상계2동
173,3694,3874,2634,27150,993,81758,1828,1897,2417,2349,2830,1519,15062,810,26274,1418,2633,1206,8897,18797,2422,17591,1255,6354,4878,19667,2129,9261,38415,3200,8281,1450,2786,5452,46059,2815,상계3·4동
174,2275,1572,890,23299,1266,68331,1180,1098,1320,2232,3526,1364,11362,1510,21717,931,2126,1158,8877,21004,2180,14923,3859,5547,4252,17098,1934,10754,29983,3043,11563,3192,3515,5359,40998,2977,상계5동
175,8072,8969,4775,37407,2237,136243,4129,5075,3625,9693,4425,3701,73744,2643,151988,5124,3530,3889,44870,110229,10438,32609,4983,9204,19869,84723,9098,41760,60718,8406,53566,4874,13664,31570,83086,8473,상계6·7동
176,2736,2867,1425,25024,1291,103653,929,1101,1463,2866,3150,1220,16939,1455,29053,1138,3199,1218,10567,25674,2226,20549,3384,6019,4678,16695,2065,11278,39929,2569,13049,2467,3526,5415,60193,2587,상계8동
177,2294,1363,1362,25589,1317,86308,1128,1292,1134,1859,3196,1342,10410,1342,41504,636,2413,1087,7475,15330,1383,20631,2659,5559,4033,14846,2001,8041,40071,2319,7694,3207,3110,3226,50394,2393,상계9동
178,5315,2983,3613,49012,2278,170654,2686,2241,4519,4357,5869,2846,23880,1691,55260,1974,3720,2336,22590,36025,5338,38821,3296,11591,13845,36763,3959,22181,72820,6979,18906,3542,6511,13661,100933,6395,상도1동
179,4120,2892,2422,24292,1707,87156,1804,1558,3432,3957,3283,1983,21420,2176,43522,2084,1965,2135,16656,40848,4366,17766,5039,4781,7663,28835,3656,17430,33717,4959,20028,3843,6580,11660,53410,5632,상도2동
180,2336,1567,1092,22497,1588,84247,1205,905,1626,1950,3128,1000,8045,1167,19994,877,1724,960,6808,15936,1871,14215,3713,4048,3140,10860,1634,8356,28391,2602,7504,3660,2211,4226,51516,2252,상도3동
181,3433,1853,1635,35201,1733,129993,1769,1163,2373,2785,4336,1930,12194,1758,28020,978,2997,1630,8494,15012,2009,23892,3247,6818,4858,17957,2432,10279,50869,3743,8122,4123,2935,4693,75631,3158,상도4동
182,2151,900,976,20002,1288,68723,1133,856,1241,1748,3217,1078,9350,968,25692,710,1327,844,6198,10022,1247,15322,2147,3455,3659,13838,1814,6868,29108,2086,4331,3247,1703,3129,41580,1835,상봉1동
183,5301,3287,3909,22918,1582,98465,2069,1835,2390,4759,2615,2395,25977,2132,61186,2293,2359,1744,29981,73689,8457,16705,6164,5785,9907,45449,4346,37185,31468,4975,45465,4307,8052,31079,64146,6159,상봉2동
184,7594,5337,5992,26626,1351,100353,3658,3881,2843,8833,2340,8306,49347,1094,274803,4371,1634,4141,42194,59281,9773,21928,1310,4947,56768,158126,7076,30279,44062,9018,24606,1535,8196,24682,53796,4758,상암동
185,7273,7021,4578,38387,2330,139264,2302,3456,3931,7411,3622,2799,48469,2782,87608,3871,2939,3600,26553,56620,6574,32420,5457,9390,13047,44205,6182,26918,66018,5908,26858,5402,6997,15227,80217,7413,상일동
186,4895,3291,3294,27981,1829,94125,2161,1967,2728,5048,3746,2766,29558,1575,76205,2052,1922,2049,47076,34747,6112,32654,3042,8235,20149,48814,8273,42405,48744,7880,23807,4068,8321,21407,55169,6246,서강동
187,13159,10805,9203,35118,2697,117343,4072,5449,4240,12075,5064,9251,65448,2968,315471,5214,2426,5247,175803,171560,26005,35859,6897,9877,64611,191898,15551,215148,54451,22835,166185,5413,36244,156198,78656,21425,서교동
188,2435,913,1070,22386,1255,77894,833,490,940,1740,2598,1036,4258,908,10816,640,1669,710,5167,7300,1147,18184,2025,4712,2429,8384,1333,6566,33162,1947,4474,3076,1828,2303,43984,1767,서림동
189,5648,5737,4450,19310,892,50983,2059,1923,2077,5212,2459,2200,22046,630,43137,2548,1098,1238,27878,27754,3627,15658,910,3038,10499,27575,2165,17043,30426,3407,11259,1161,1708,8270,30173,1969,서빙고동
190,4629,4105,3186,21989,1871,108318,1527,1631,2170,3954,2596,1544,17596,1679,35074,1424,2121,1354,22406,39288,4840,17785,4860,5720,6182,25616,3062,30315,32996,3951,28692,4495,7238,25011,67993,4984,서원동
191,7436,3619,5763,29890,2654,95422,4083,3046,5008,7607,3959,6571,38890,2009,186677,4045,1936,4732,42097,48426,9262,27828,4485,7197,41261,109678,11762,38798,46772,9906,24652,4079,6245,33489,53051,12053,서초1동
192,10361,4710,9107,24991,2311,88696,5548,4832,7179,10609,3252,10650,56430,3076,325838,5635,1869,7809,63623,64662,13830,28290,4255,6819,77414,176616,25441,54152,44573,14110,31901,3743,9226,53525,53178,14839,서초2동
193,17256,10313,13545,45508,2704,155889,9982,9507,8960,18072,5947,17981,99731,2410,561836,9800,3437,11032,95179,127946,23068,40682,3393,10411,120719,320312,26160,88372,70487,23675,70828,3797,18966,75048,89673,15961,서초3동
194,7763,3681,5095,32193,2725,93220,3449,4259,4835,8759,3996,7134,40381,2096,200069,4080,1721,6279,77520,63317,12376,30980,4062,7664,42337,107692,16797,77326,51405,10299,42453,5408,9174,61127,54349,13539,서초4동
195,4121,1992,1757,30266,1669,97872,1583,1026,1709,3247,3437,1935,14627,1510,40906,1253,2520,1490,13540,24965,3292,19833,3431,6319,7033,25271,2735,17268,41509,4014,14819,3538,3503,11338,57099,3551,석관동
