,출근출발_EE,출근출발_EH,출근출발_EW,출근출발_HE,출근출발_HH,출근출발_HW,출근출발_WE,출근출발_WH,출근출발_WW,출근도착_EE,출근도착_EH,출근도착_EW,출근도착_HE,출근도착_HH,출근도착_HW,출근도착_WE,출근도착_WH,출근도착_WW,퇴근출발_EE,퇴근출발_EH,퇴근출발_EW,퇴근출발_HE,퇴근출발_HH,퇴근출발_HW,퇴근출발_WE,퇴근출발_WH,퇴근출발_WW,퇴근도착_EE,퇴근도착_EH,퇴근도착_EW,퇴근도착_HE,퇴근도착_HH,퇴근도착_HW,퇴근도착_WE,퇴근도착_WH,퇴근도착_WW,읍면동
225,1790,507,866,7465,292,22819,1014,229,510,1150,541,1211,5131,280,28384,646,525,917,3255,5607,975,4333,321,1265,4429,19035,1273,2992,11125,1407,1321,351,603,1753,14642,887,시흥3동
226,1445,628,648,17802,672,57922,663,217,489,1190,1919,902,4661,538,10000,464,1506,494,3939,7264,1117,11344,979,3282,1744,7807,877,4741,24788,1681,3201,1398,1106,1886,34696,1396,시흥4동
227,1748,973,876,11338,604,36570,636,379,773,1378,1050,542,5855,556,10547,627,1091,507,4484,10223,1265,6676,1105,1903,1791,8522,1027,4890,14105,1413,4786,1216,1611,2336,23411,1432,시흥5동
228,3306,1941,2713,20785,1103,87196,1298,1133,1683,2541,2352,1515,12525,1136,29566,1307,1769,1218,9491,15529,2181,15307,1863,3926,4875,21308,1775,9968,30963,2463,7551,2043,2451,7304,53986,2307,신길1동
229,1995,1119,1071,12713,873,41302,890,782,990,1661,1435,760,6882,842,15631,760,1104,586,6243,11706,1312,8742,2198,2902,2545,11128,1199,6584,18868,1828,5538,1748,1637,2765,27253,1736,신길3동
230,1717,896,756,13034,652,39073,939,580,1111,1176,1517,660,4159,671,9982,520,904,656,4758,9184,1070,8123,1424,2135,2070,7475,1030,5203,17783,1743,4244,1505,1541,2178,24099,1618,신길4동
231,900,452,495,5234,283,13986,367,208,325,830,521,289,3639,452,6843,364,368,318,2201,3913,513,3265,624,828,1033,4521,468,2180,7735,518,1633,655,475,1019,9083,510,신길5동
232,4510,3203,3576,25814,1504,92964,1592,1564,2077,3365,3400,1323,16967,1317,36308,1461,2486,1384,12263,26424,2859,17096,3204,5278,5276,23433,2638,14597,37517,4079,14437,2727,3934,8808,59427,3958,신길6동
233,2318,1356,1803,13810,908,49308,1314,867,2245,2067,1856,879,10248,1053,20195,597,934,787,6915,14428,1507,11459,1939,2392,3354,13132,1561,7707,23166,2633,7415,2287,2055,4165,31747,2533,신길7동
234,5601,2335,2438,33664,1650,106616,2851,2578,1496,4813,3510,2884,25606,1274,71321,1913,2726,1800,16138,34837,3875,21267,2808,6412,11309,50760,3725,16926,49601,5105,15071,2562,4011,8709,66695,3032,신내1동
235,1846,1815,814,18339,749,60671,711,1057,787,2350,2114,874,13958,1268,32049,972,1491,865,8489,19874,1660,13545,1584,3194,4895,19727,1912,7833,29430,2349,10564,1694,4089,3935,38263,2360,신내2동
236,1500,857,922,11081,849,36518,752,830,1053,1480,1346,1131,6114,847,29735,581,1209,860,6581,12348,1852,8334,1994,2961,3215,14489,1765,8593,18092,2071,5965,2029,2938,5141,25290,2916,신당5동
237,7113,4549,6486,12327,2582,55329,3288,3412,4596,6744,2019,3263,34500,2123,100757,3820,2402,3158,19573,27201,5489,9142,1942,4400,13565,58429,5443,21425,16373,7666,14996,2295,16789,14364,39410,10969,신당동
238,3068,1840,1426,17529,1129,58820,894,1537,1363,2669,2087,906,13539,825,24619,1100,1285,1051,7043,12332,1370,12938,1605,3227,3852,15782,1607,7433,26899,1820,5561,2149,1381,3587,36834,1810,신대방1동
239,4335,7458,2625,18263,1741,75416,1809,2937,2012,7065,2031,3222,51298,1676,115025,3203,1524,2422,19901,50628,5011,15045,2848,4055,16907,70154,6557,14595,29913,3176,19074,3199,3522,8606,46618,3241,신대방2동
240,3968,1611,3251,23435,953,99836,1588,1062,2463,3350,2534,2261,17324,904,68598,1421,1198,1617,21766,38675,4204,19485,2467,5042,9733,45918,2849,25512,38131,3625,19423,2262,3671,23414,66334,4457,신도림동
241,5261,3729,4390,21537,1543,118886,1353,1420,1904,4077,2421,1535,18278,1723,38609,1518,1685,1145,24974,43639,4749,19223,4570,5427,5486,26526,2702,30238,31206,4077,27989,3398,7861,22246,78108,5808,신림동
242,2766,1306,1035,29640,1250,99250,878,525,1133,1897,3086,1003,9575,1364,19948,821,2630,850,9249,19092,1797,20303,2860,5557,3681,15094,1770,11367,45478,2883,10144,2398,2922,5326,62040,2434,신사1동
243,1737,1126,1049,16006,628,52365,827,798,873,1518,2135,853,8335,841,19670,500,1565,766,5225,10195,1240,12389,1123,3568,2531,11467,1252,5717,27055,1701,5665,1406,1818,2582,32756,1249,신사2동
244,9636,5110,6120,33830,1463,122478,4358,4075,3949,11001,3908,7099,47309,1501,199090,4242,2039,3627,79967,95163,15109,28402,3104,6842,35295,117975,8861,80679,54467,12909,59867,3318,13229,56055,76144,13141,신사동
245,3024,1126,1370,22193,1466,72487,1450,1038,1232,2371,2821,1638,10767,840,39394,998,1315,1231,12031,21809,2297,19289,2093,4677,7269,25237,2562,12951,36056,3766,12388,2508,3975,5698,46339,2860,신수동
246,2005,626,1014,14879,904,65205,456,383,525,1378,1697,608,5408,698,12621,402,1353,455,5918,8982,1185,11173,1539,3470,1949,9514,1213,6832,21796,1329,4651,2493,1390,3408,38767,1497,신원동
247,2513,910,1030,19394,903,52609,1084,516,935,1768,2693,1172,5865,734,18837,649,1470,571,6828,13186,1624,12065,1570,3256,3226,14369,1525,8456,25052,2554,6128,1676,1991,3310,32380,1959,신월1동
248,1472,787,660,12599,542,39200,601,348,660,1117,1569,859,4684,651,11349,363,1022,714,4269,10845,953,8345,1383,2149,2035,9441,1154,4640,16825,1641,3849,1343,1420,1758,23998,1460,신월2동
249,1653,829,661,8953,339,25068,676,351,383,1348,1173,1074,8208,457,21491,569,839,641,3943,7554,966,6624,519,1603,2341,12788,1032,4367,14544,1348,3213,676,826,2177,15735,890,신월3동
250,1059,527,420,9970,388,29022,466,251,378,1016,1316,413,4292,331,9813,323,623,354,3503,7597,814,7025,838,1792,1398,7456,621,4082,13604,1052,4392,765,1167,1940,18387,1128,신월4동
251,1260,558,388,11391,465,35670,430,233,362,1056,1210,432,5025,345,14471,328,811,524,3908,8033,910,8697,980,2064,1671,8269,792,4481,18179,904,3878,1223,994,1742,23070,653,신월5동
252,881,607,565,3865,282,11223,307,319,465,941,565,460,5055,303,10791,369,373,328,2898,7738,812,2632,883,820,1420,6957,508,3123,5524,859,3502,540,1029,1730,7393,847,신월6동
253,2777,2881,1568,16463,503,47892,1084,780,777,1823,1684,1207,11113,647,17283,891,1051,760,6475,15900,1887,9985,932,2504,2842,13348,883,7147,22416,2022,7573,880,1398,3538,30402,2059,신월7동
254,2271,1446,1025,11802,788,36703,627,1014,1048,2194,1454,756,11716,915,28132,785,925,1007,11258,28947,2397,10598,2506,2520,3789,20810,1882,11555,19759,2231,19372,1808,6461,5873,23418,2516,신정1동
255,1862,1348,1312,13594,866,43913,616,848,1052,1779,2043,1022,7925,673,20636,664,816,757,8222,17633,1502,13996,1615,3490,3595,14864,1639,9066,23012,1987,10669,1903,3434,4505,26565,2343,신정2동
256,5653,4613,3203,44255,1718,148498,2475,1887,2807,4103,4839,2787,24688,1590,50185,2100,3210,1780,14504,31382,3605,34367,2690,9792,7625,30211,3454,16204,69405,5360,14503,3424,3595,7338,95253,3917,신정3동
257,5057,2598,2700,32149,1445,118235,2135,1575,2607,4838,3691,2982,28529,1589,79077,2099,2933,2225,21049,39256,5176,25592,3206,6644,11384,49968,4058,22589,52154,5730,23745,3102,7350,16307,78198,5395,신정4동
258,3286,3443,2326,17285,1275,54413,1568,1146,1759,3167,1803,1191,20954,1087,40419,1478,895,1363,12825,31129,2654,17858,1931,3559,6710,24723,2548,10249,33239,3004,15995,2462,4013,4081,33242,2377,신정6동
259,3186,1891,1332,24719,1013,79523,1033,1162,1444,2722,2812,1196,15684,1133,30962,1007,1545,1161,11868,25421,2465,21717,1815,4973,4607,19015,1719,13265,44961,2978,20855,1906,7129,4380,51639,2420,신정7동
260,8565,8366,6053,21706,1854,67272,3309,5312,2538,18267,2556,5720,106638,2256,218289,6229,1557,3544,82432,131971,14169,32928,4380,7404,39247,137188,9393,70437,40685,8479,71115,3414,14667,42655,43890,6549,신촌동
261,2205,1846,968,18177,1012,55561,891,578,674,2251,2011,1072,12025,1013,23218,707,1301,792,7802,15915,1267,15126,1938,3738,3594,16277,1495,6344,31100,2145,5569,1729,1578,2024,34326,1747,쌍문1동
262,2714,2892,1214,17341,979,57888,1149,1219,1141,3085,2092,1466,21007,1382,37879,1376,1547,1120,12853,31766,2965,12992,2363,3930,5029,24722,1998,11925,27118,2809,15274,2002,3876,6135,37973,2950,쌍문2동
263,2387,1084,1059,14585,891,49424,1035,773,1418,1845,1666,928,9257,1013,21487,643,1320,662,7898,16591,1689,9439,2115,3251,3009,15658,1504,9011,20083,2137,9006,1789,2428,4907,32508,2024,쌍문3동
264,1847,1084,498,18808,850,58324,686,840,579,1535,1746,820,8853,676,27215,366,1325,783,5093,11171,963,15078,1056,2937,2740,13509,1370,4819,31387,1663,4381,1613,1840,1547,35344,1153,쌍문4동
265,3693,2417,2770,18726,1423,71020,1428,1458,1916,3896,1830,1995,19912,1995,72816,1368,1107,2319,15976,28423,3058,16425,3926,3262,11589,44890,4835,15315,30961,3308,12724,2757,3697,8890,45962,3702,아현동
266,4687,4765,2289,14454,1004,42409,1731,3488,1193,7300,1927,3144,41622,1340,101664,2462,1015,1717,26739,43175,4571,19548,2326,4915,19570,68685,5359,19494,25498,4595,19815,2232,6211,9602,27441,2717,안암동
267,3871,1521,1270,32152,1872,107567,1195,767,1549,2940,3812,1490,11972,1636,26011,1135,2374,1171,11957,26836,2479,21652,3713,6855,4200,19876,2126,14405,46019,3076,12364,3695,3366,6186,66918,2828,암사1동
268,2457,1802,1151,13292,526,44050,727,522,1030,2014,1624,926,10874,772,21013,814,1326,778,8255,19832,1940,8783,2044,2635,3013,15066,1410,9225,19715,1685,9888,1644,2521,5043,30306,1903,암사2동
269,2499,1400,980,14910,693,43043,904,792,1006,1868,1403,756,10277,915,19908,712,875,853,8713,18013,1635,13418,1879,3080,3150,13100,1886,7847,23684,1768,6888,1412,1886,2398,26708,1450,암사3동
270,8185,3879,5943,25136,1057,61428,3558,3395,3005,9962,2588,8037,45677,944,229338,4114,1183,4375,88293,101335,16783,19185,1564,4107,42487,133203,10060,82331,37980,12286,62625,1309,15931,55461,40676,9010,압구정동
271,2565,1007,1208,16868,1062,47703,944,783,1221,1867,2020,1078,7533,886,25750,831,1019,1251,10190,15799,1863,10382,2554,2608,4301,17695,1717,11820,24016,2144,7539,2058,1942,6094,32304,1984,약수동
272,8293,5899,6779,34639,1612,109612,4072,3881,3223,10334,3459,8393,58886,930,221574,4827,1841,3693,44097,70258,11221,24667,1385,5363,45349,129657,8836,38271,52105,8495,28309,1393,5303,32482,66287,6606,양재1동
273,8343,5212,6762,18921,710,63658,4291,1941,2510,13966,2284,7330,48442,693,185740,4582,1255,3590,34381,68440,9439,13612,1244,3639,37424,112075,6263,30723,26884,7677,24123,1050,4192,22791,42535,4471,양재2동
274,3059,1425,1869,16328,1008,74894,1754,1388,1468,2829,1913,2305,14855,892,77944,1367,1325,1938,11205,17608,2759,14857,1480,3340,12946,48644,3626,10301,25723,3503,7874,1774,2620,7037,46655,2710,양평1동
275,4811,2222,4357,18555,1086,81524,2857,1635,2507,4856,2164,3261,25283,741,106193,2322,1430,2338,18655,28599,4088,16261,1193,4231,18047,66766,4746,17924,28202,5121,12109,1806,3664,12760,49246,3303,양평2동
276,13924,8490,9735,21317,2339,74805,7356,10251,4022,23189,2144,27498,123730,1980,1078075,11837,1409,13273,110487,146844,21079,17211,1393,3888,176830,610696,22524,74037,36096,14854,65190,1447,16248,65773,48224,5914,여의동
277,20571,8521,15898,36159,3691,132220,9494,9898,8862,25875,5113,27063,133938,3265,883195,10795,2403,14900,191307,196224,37408,43491,4927,12286,164137,496953,35503,173704,60873,35410,109384,4535,34190,140416,87475,33874,역삼1동
278,7571,3319,4307,33258,2243,105591,3773,4306,4270,9036,3900,7566,38013,1691,224813,3679,1991,5185,48475,58882,10634,40463,3518,12457,46646,136386,17732,39192,58945,11119,28153,4283,9448,21060,61702,10389,역삼2동
279,4244,2731,1605,39524,2135,126916,1492,1531,1473,3365,3945,1710,15075,1745,38055,1113,2928,1410,15369,30769,3250,26695,3757,6751,6011,29701,2933,19312,61274,4365,18107,4679,5933,8994,81390,3849,역촌동
280,2721,1144,1097,16998,895,52703,974,472,656,2554,2188,1103,7774,634,29084,710,985,773,40906,22158,3520,16628,1519,3887,6783,19406,2704,43229,27923,3899,21156,1928,3592,16188,33707,3246,연남동
