,출근출발_EE,출근출발_EH,출근출발_EW,출근출발_HE,출근출발_HH,출근출발_HW,출근출발_WE,출근출발_WH,출근출발_WW,출근도착_EE,출근도착_EH,출근도착_EW,출근도착_HE,출근도착_HH,출근도착_HW,출근도착_WE,출근도착_WH,출근도착_WW,퇴근출발_EE,퇴근출발_EH,퇴근출발_EW,퇴근출발_HE,퇴근출발_HH,퇴근출발_HW,퇴근출발_WE,퇴근출발_WH,퇴근출발_WW,퇴근도착_EE,퇴근도착_EH,퇴근도착_EW,퇴근도착_HE,퇴근도착_HH,퇴근도착_HW,퇴근도착_WE,퇴근도착_WH,퇴근도착_WW,읍면동
0,10608,6895,12243,32466,3315,113957,3455,2864,5670,6906,4059,2704,28363,2533,57198,3535,2472,3338,20229,30886,5773,28983,3602,8943,11492,38474,6237,21330,48653,5421,15020,3110,5589,14551,58987,6411,가락1동
1,4181,3141,1885,30245,1698,102242,2186,1668,2567,3758,3951,2603,16951,1769,46773,1843,2340,2598,15482,29414,3955,26490,3329,7586,9041,29399,3824,16640,44694,4312,16660,3221,4677,9115,57287,3748,가락2동
2,10522,6279,7864,40833,3247,141410,6311,4478,6599,9689,6561,7371,43341,3898,151022,5436,3899,6833,32491,48618,8663,36170,4290,10831,32263,92092,8615,37097,63020,10362,28556,4621,11914,29250,80591,9930,가락본동
3,1906,754,984,6874,801,28048,662,434,835,1352,800,911,4177,443,13648,684,538,886,3964,5698,1641,5097,1232,1685,3288,9075,1670,4324,9794,1899,2889,1900,1262,2214,17528,1477,가리봉동
4,8968,4215,8669,22113,2131,98829,6411,4609,4511,11941,2543,16399,74957,1849,560361,5664,1650,8283,51625,77238,14597,17324,3633,4795,102531,335306,15610,37092,30250,15331,25321,3036,8479,42946,58378,9012,가산동
5,11548,9774,11540,35108,2955,136626,6196,4971,7814,11662,4773,12341,60368,2808,288966,5940,3182,7620,57256,86546,13989,30184,5131,8444,61366,180067,16125,60192,51495,14166,59562,5285,15900,58613,80102,12419,가양1동
6,2908,2655,2101,15690,926,52419,1069,933,1458,2851,2209,1892,14948,1170,35460,1571,1463,1170,10497,20791,2518,12558,2012,2861,6204,22285,1698,9625,24764,2607,9812,1899,1886,6415,32962,2815,가양2동
7,2451,2035,1607,11810,659,43488,1361,1048,1637,2429,1917,1650,11600,864,47681,1059,1286,1869,8714,18355,2262,8972,1833,2206,8835,28377,3028,8583,17019,2621,8578,1555,2008,4483,25320,2207,가양3동
8,2276,695,1348,5538,354,13188,920,757,980,4831,1408,2036,17250,327,66193,1775,368,1656,30830,21414,3136,4604,341,1007,12783,36401,3678,21241,8381,1839,7288,443,1259,11359,7652,2163,가회동
9,3633,2611,1996,25597,1439,82206,1119,1565,1459,3813,2874,1342,21084,2013,49067,1685,2196,1761,18762,40517,4355,16468,5935,4811,6810,25162,3234,24281,32772,4356,25073,3261,7564,20174,53357,4873,갈현1동
10,3217,2289,1146,27990,1653,85154,1475,1388,1747,2865,3010,1792,17721,1527,41566,1369,1827,1341,12318,27543,2827,18594,3903,5041,5740,21496,3110,14427,36370,4138,18582,4285,7796,7815,49576,4458,갈현2동
11,6491,3653,4734,49366,1888,163845,4709,3164,6704,4934,5199,5058,23376,1533,89073,2981,4801,4412,18083,33081,4594,30246,3169,10453,22255,56741,6921,18761,62408,8110,15739,3146,5355,8983,88665,6551,강일동
12,4878,2569,2026,36277,2033,123989,2256,1240,2750,3974,4701,2006,15906,1811,35241,1803,3078,2037,13025,25848,3070,23594,4790,6277,5636,21963,2450,16471,46419,4157,13676,4537,4031,9243,72972,4510,개봉1동
13,3661,1474,1328,24656,1934,85308,1214,927,1675,2090,3425,841,7075,1541,13203,1010,2253,1203,7096,12484,1551,12992,3720,4354,2929,9814,1427,9257,27763,2495,7273,4041,2229,4436,50048,2587,개봉2동
14,2108,1906,1218,16829,918,66056,1377,857,1547,2086,2185,1176,9371,1194,20729,940,1614,927,5692,11578,1386,11203,2243,3219,3210,13564,1619,6514,21653,2337,7107,2192,2300,3949,38996,2472,개봉3동
15,3535,1219,2465,16447,666,36809,3692,1037,3280,2605,2840,3113,8918,680,27065,1422,1019,2747,7257,10010,2248,16205,745,2834,6423,20453,3449,6397,26637,2873,3888,721,1375,3111,19571,1788,개포1동
16,5590,3163,3847,27043,1244,78695,3825,2396,5771,4692,4115,3364,22254,1168,59026,2530,1967,3089,13712,22043,3493,25580,1537,6747,11010,30403,4317,13707,46228,6393,10219,2123,4261,6751,39624,4633,개포2동
17,4534,2228,3600,21518,1109,64801,2589,1507,2727,4375,3174,3301,15930,825,50906,2703,1499,3238,12337,17171,3489,18281,1285,4786,12697,31268,3633,12729,31166,5546,9350,1422,3203,7116,37317,2966,개포4동
18,2433,1279,902,15638,1578,50656,1050,874,1456,2105,2585,1525,12104,1541,24934,1047,1506,1128,8459,16938,1947,12182,3641,3810,4076,16689,2182,9478,21732,2597,9635,3341,3794,4581,30612,2496,거여1동
19,3412,1955,1741,26708,1769,86151,1350,1396,2063,2814,3381,1533,14121,1623,34471,1410,2145,1652,11339,21189,2450,18890,3860,5430,5645,19880,2329,12956,37912,3412,11837,3699,3096,6537,49604,3415,거여2동
20,3852,2193,1569,31427,1914,97965,1813,1831,2837,3749,3785,1947,14870,1496,42300,1581,2515,2347,11311,13953,2175,30246,2646,8268,6792,19689,3622,11777,54821,3476,7037,3518,3236,3864,52580,3266,고덕1동
21,4197,2548,1889,18175,1136,61141,1996,1506,2106,3666,2499,2290,15291,1485,39415,1943,1764,2463,10296,16235,2493,17578,2366,4884,6454,21752,3263,10761,32723,2549,9318,2438,2331,4003,36396,2381,고덕2동
22,4854,4878,3271,23638,1257,80926,2151,2056,2583,4780,2753,2245,25739,1376,56683,2519,1819,2400,16289,31350,3906,16262,2465,4371,8862,37309,3459,24729,31399,3812,25146,2559,5011,14992,47807,3679,고척1동
