,출근출발_EE,출근출발_EH,출근출발_EW,출근출발_HE,출근출발_HH,출근출발_HW,출근출발_WE,출근출발_WH,출근출발_WW,출근도착_EE,출근도착_EH,출근도착_EW,출근도착_HE,출근도착_HH,출근도착_HW,출근도착_WE,출근도착_WH,출근도착_WW,퇴근출발_EE,퇴근출발_EH,퇴근출발_EW,퇴근출발_HE,퇴근출발_HH,퇴근출발_HW,퇴근출발_WE,퇴근출발_WH,퇴근출발_WW,퇴근도착_EE,퇴근도착_EH,퇴근도착_EW,퇴근도착_HE,퇴근도착_HH,퇴근도착_HW,퇴근도착_WE,퇴근도착_WH,퇴근도착_WW,읍면동
0,9460,5827,11016,30884,3324,116253,3037,2730,5540,6072,3105,2400,26188,2298,60942,3199,2311,3087,20733,31042,5407,28069,3352,8505,11984,41095,6137,21828,48640,5078,15573,3194,6182,19370,60755,6065,가락1동
1,4089,2346,1778,29792,1732,105218,1921,1502,2471,3556,3348,2160,15286,1532,48255,1695,2571,2329,15561,30171,3960,26040,4009,7529,9802,30562,3494,15890,46207,4723,16398,3476,4708,9280,60869,4303,가락2동
2,9648,5722,7468,39489,3097,143174,5880,4080,6521,8697,5104,6615,41822,4357,153697,5250,3980,6063,31455,49165,8526,34899,4543,10748,33891,93755,9155,36496,63093,10779,27456,4587,12332,29828,81255,9875,가락본동
3,1577,566,1033,6395,914,26924,686,373,883,1201,659,743,4025,492,15389,587,439,925,3685,5797,1418,4799,1362,1737,3723,10427,1823,4088,10246,1980,2545,1784,1141,1952,17692,1620,가리봉동
4,8221,3446,8454,21696,1936,105313,5974,4088,3963,11207,2039,15839,71145,1826,557557,5395,1528,7073,51400,79390,14572,16169,3563,4913,105438,343341,14475,37377,31179,14853,25030,3159,8519,46031,62558,9596,가산동
5,10410,6956,10375,33348,2936,142224,5730,5258,7131,10475,4068,11486,59565,2743,294200,5708,3035,7291,55244,86075,13173,28505,5931,8335,63895,184324,16856,56662,51657,13532,52819,5917,14770,58868,83773,12691,가양1동
6,2455,1786,1847,14827,748,52726,1082,963,1569,2641,2152,1405,13728,1160,37094,1423,1451,1433,9759,20852,2324,11393,2071,2600,5991,23294,2023,8883,24944,2572,8398,2021,1882,6408,33232,2608,가양2동
7,1907,1478,1376,11908,740,45997,1317,1133,1184,1897,1609,1601,10007,714,46403,834,1140,1670,6544,11183,1544,8499,1368,2227,8784,27682,2784,5144,17976,2401,4735,1593,1612,2967,26203,1748,가양3동
8,2139,583,1427,5312,402,13175,988,641,1077,4465,1150,1930,18230,322,72138,1766,389,1697,34478,25854,3634,4814,374,964,14445,38593,4141,21972,9040,2021,7697,352,1108,12737,7626,2295,가회동
9,3159,2390,1866,21272,1293,78001,1070,1352,1438,3381,2170,1184,19774,1910,52343,1597,1808,1722,15922,39178,4129,13919,5976,4494,6364,26357,3313,21767,29751,3966,23370,3243,7430,20232,51243,5098,갈현1동
10,2955,1767,1387,25228,1774,88899,1481,1317,1664,2626,2499,1621,15904,1647,45780,1277,1830,1573,11505,27362,2685,16872,4521,5614,5853,23456,3180,13199,36002,3930,16708,4718,7383,8265,52898,4626,갈현2동
11,6563,2728,4768,47636,2148,168503,4572,3037,6352,4812,4684,4674,21858,1918,89648,2569,4042,4557,18018,34910,4829,28998,4307,10270,22461,56079,7870,17968,64727,8031,15488,3875,5058,9088,92135,6428,강일동
12,5399,2486,2431,35995,2156,132335,2001,1424,2932,3594,3469,1931,15278,2165,36858,1698,2957,1858,13312,26409,3383,23246,5536,6520,5879,23754,2915,16758,51625,4512,13173,5786,4523,9495,77701,5065,개봉1동
13,3343,1108,1476,23962,2193,91867,1008,937,1927,1977,2998,916,7211,1476,13838,747,2322,1125,7020,13446,1487,13382,4203,4338,3064,10729,1785,9199,29617,2480,6832,4744,2476,4768,53259,2840,개봉2동
14,2038,1462,1316,15971,804,64290,1110,739,1142,1874,1530,939,7869,1062,23521,872,1370,1161,4941,10852,1260,10722,2250,2909,3795,14488,1810,5714,22107,2127,5517,2136,2231,3845,39036,1946,개봉3동
15,3755,1198,2709,15074,713,36389,4445,1247,3645,2675,2182,3068,9358,688,30444,1378,987,2873,7003,10684,2120,15333,766,3130,7156,23109,3828,6371,26182,2938,4190,742,1457,3286,19502,1724,개포1동
16,5540,2794,3763,26282,1382,83790,3338,2302,4393,4679,3396,3160,20748,1385,67514,2618,1760,3905,13925,22945,3315,25398,1946,6692,11566,34068,4342,13627,47062,5812,9617,2221,4127,6870,42870,3647,개포2동
17,4077,1969,3547,20250,861,66875,2438,1498,2892,3910,2529,3221,14362,922,53551,2604,1632,3275,11865,17462,3481,17084,1264,4695,12933,32832,3775,11765,30170,5265,8831,1461,3065,7146,37984,3120,개포4동
18,2135,990,763,15137,1425,53684,939,907,1540,2237,1912,1483,10909,1380,27067,924,1516,1228,7829,16950,2072,11154,3922,4126,4220,17602,2406,8385,21349,2545,8772,3269,3862,4481,33704,2722,거여1동
19,2831,1348,1594,23378,1706,85865,1195,1380,2072,2422,2531,1548,11253,1675,28299,1238,1948,1494,9236,18087,2341,16645,3822,5278,5435,18437,2541,10849,35192,2877,9775,3793,3059,6340,48347,3892,거여2동
20,3694,1654,1535,30859,1933,103997,1607,1743,3164,3469,2967,1892,13912,1748,44934,1678,2224,2830,10506,13342,2109,29791,3001,8818,7040,20452,3778,10194,54726,3176,5994,3914,3166,3510,54071,3167,고덕1동
21,4565,2294,2161,18554,1356,65902,2109,1431,2744,4095,2303,2293,14979,1507,46003,2066,1491,3062,9958,17037,2759,17506,2508,4872,6872,25157,3601,10320,33219,2461,8980,2687,2399,4176,39951,2332,고덕2동
