,출근출발_EE,출근출발_EH,출근출발_EW,출근출발_HE,출근출발_HH,출근출발_HW,출근출발_WE,출근출발_WH,출근출발_WW,출근도착_EE,출근도착_EH,출근도착_EW,출근도착_HE,출근도착_HH,출근도착_HW,출근도착_WE,출근도착_WH,출근도착_WW,퇴근출발_EE,퇴근출발_EH,퇴근출발_EW,퇴근출발_HE,퇴근출발_HH,퇴근출발_HW,퇴근출발_WE,퇴근출발_WH,퇴근출발_WW,퇴근도착_EE,퇴근도착_EH,퇴근도착_EW,퇴근도착_HE,퇴근도착_HH,퇴근도착_HW,퇴근도착_WE,퇴근도착_WH,퇴근도착_WW,읍면동
0,10029,6298,12711,30118,3094,116731,3289,2876,5730,6569,3698,2812,26521,2037,61526,3392,2352,3188,19478,29436,5762,29340,3841,8421,12054,39539,6975,20847,50877,5687,14858,3046,6482,16033,58706,7179,가락1동
1,3658,2743,1821,27804,1921,106418,2061,1674,2331,3384,3605,2301,15379,1658,48569,1588,2278,2440,15930,30091,4029,26336,3698,7518,9119,29709,3955,15764,44894,4324,17303,3355,4622,9694,57445,4049,가락2동
2,9885,5952,7768,39124,3060,152534,5763,4443,6583,8981,6064,6919,40521,3302,153335,5237,3915,6810,31804,46679,8928,36229,4197,11101,31911,89873,9142,35863,64248,10423,26389,5010,11521,28692,82332,10135,가락본동
3,1590,660,904,6031,761,26266,596,321,735,1141,615,743,3495,367,12101,531,450,737,3488,5237,1394,4389,1188,1767,3115,7939,1474,3807,9448,1774,2476,1764,1036,1897,16861,1486,가리봉동
4,8561,4084,8283,21572,1965,98468,6682,4298,4349,11139,2178,15563,73628,1823,561760,5536,1732,7841,50781,76569,14400,16097,3354,4675,103473,332763,15108,36259,30258,15633,25485,3114,8813,45863,58229,9311,가산동
5,10761,8360,10774,34437,2944,148048,6540,5243,9523,11230,4318,11616,60335,2817,292285,6066,3471,7835,56179,88845,14554,30128,5512,9111,61063,178443,17186,57933,52527,15445,58033,5686,15155,58586,82563,14749,가양1동
6,2509,1955,1800,15018,917,52705,1009,845,1635,2503,2297,1700,12455,1160,38411,1339,1473,1497,9920,20187,2388,12412,2230,3179,6704,22994,2071,9387,23638,2504,9140,1950,2089,6515,31561,2741,가양2동
7,2191,1721,1361,11423,535,43570,1231,1069,1707,2105,1942,1346,12275,902,46884,1041,1106,1507,7976,18179,2277,8982,1629,2112,8493,26942,2806,8056,17488,2279,9028,1632,1826,4667,24741,2390,가양3동
8,2148,552,1478,5355,419,14151,849,606,936,4185,1120,1769,16681,206,67252,1867,364,1500,31366,22768,3345,4366,382,1250,12750,35191,3975,21537,8395,1951,7227,414,1133,11705,8336,2293,가회동
9,3342,2484,1976,24057,1364,87070,1181,1515,1490,3358,2649,1559,19212,2076,61548,1677,2303,1917,17188,41440,4681,15747,6183,4931,7234,29904,3858,23803,33179,4117,25108,3502,7586,21287,55361,5351,갈현1동
10,2849,1738,1085,25596,1621,88284,1529,1446,1857,2490,2718,1618,14505,1529,50724,924,1872,1464,11027,25904,2676,16890,3923,5269,6020,25787,4027,12410,34436,3921,16261,4018,7683,8011,50186,5176,갈현2동
11,6610,3309,4906,45889,2066,162348,4400,3036,6946,5304,4889,5635,21948,1742,95360,2702,4468,4970,18410,32853,4987,27983,3373,9809,23657,58438,7679,18669,59860,8111,15485,3766,5482,9843,85703,6840,강일동
