,이름,행정동,위도,경도
193,도담어린이집,방화1동,37.5657541,126.8196234
194,근로복지공단 강서어린이집,화곡3동,37.54356651,126.8378838
195,강서햇빛발도르프어린이집,화곡6동,37.54674257,126.8508392
196,롯데중앙연구소 mom편한 어린이집,가양1동,37.57140769,126.8277308
197,마곡어린이집,공항동,37.55690832,126.8178746
198,구립 하나로어린이집,염창동,37.55189482,126.8715134
199,구립 한숲어린이집,방화3동,37.57681212,126.8174741
200,구립 모아어린이집,방화1동,37.57461246,126.8120388
201,마곡1 고운비어린이집,방화1동,37.56847265,126.8183172
202,디앤오 강서어린이집,가양1동,37.56699442,126.8285205
203,사이언스파크어린이집,가양1동,37.56340309,126.8312303
204,마곡코오롱어린이집,가양1동,37.56460753,126.8348563
205,잘자람어린이집,방화1동,37.57080392,126.8140018
206,LG CNS어린이집,가양1동,37.56304731,126.83443
207,마곡13 하나어린이집,공항동,37.55690832,126.8178746
208,해피랜드어린이집,공항동,37.55690832,126.8178746
209,고운아이어린이집,공항동,37.55690832,126.8178746
210,마곡두린아이어린이집,공항동,37.55690832,126.8178746
211,구립 밤비어린이집,등촌1동,37.55796271,126.8569695
212,구립 코알라아가마을어린이집,가양3동,37.56375809,126.8592894
213,구립 큰별어린이집,등촌3동,37.56308148,126.8488956
214,구립 아기별어린이집,우장산동,37.55707841,126.8380811
215,구립 꼬꼬마라인어린이집,등촌1동,37.5592643,126.8557917
216,마곡8 열린숲어린이집,방화1동,37.56436639,126.8191544
217,마곡12 온새미어린이집,공항동,37.55925659,126.8233888
218,마곡10 별솔어린이집,공항동,37.55904001,126.8200632
219,마곡11 나무햇살어린이집,공항동,37.55946179,126.8207286
220,행복한어린이집,공항동,37.55904001,126.8200632
221,미소어린이집,방화1동,37.56436639,126.8191544
222,구립 드보라어린이집,발산1동,37.5527677,126.8326711
223,구립 태진한솔어린이집,염창동,37.54904495,126.874521
224,구립 늘사랑어린이집,등촌2동,37.54472977,126.8615933
225,구립 소은어린이집,염창동,37.55553061,126.870358
226,구립 보솜어린이집,등촌3동,37.55928952,126.8496458
227,구립 뽄다어린이집,화곡1동,37.53287976,126.8403375
228,홈플러스어린이집,등촌1동,37.55846996,126.854819
229,마곡 이화어린이집,방화1동,37.56469676,126.8184329
230,미즈메디어린이집,우장산동,37.55319664,126.8394616
231,구립 푸른별어린이집,발산1동,37.55385797,126.8276418
232,구립 스마일어린이집,우장산동,37.54826258,126.8409806
233,구립 노블키즈어린이집,발산1동,37.55356537,126.8305342
234,한국공항공사어린이집,공항동,37.56090185,126.7997108
235,도토리어린이집,화곡4동,37.53381928,126.8580868
236,KB강서어린이집,염창동,37.55359337,126.8690417
237,강서힐스테이트어린이집,우장산동,37.54754619,126.8372075
238,하나린어린이집,발산1동,37.55392324,126.8255151
239,지니어스어린이집,등촌1동,37.55698878,126.8593316
240,마곡아이숲어린이집,발산1동,37.55741872,126.8270293
241,마곡3 연두어린이집,방화1동,37.56849345,126.8195404
242,마곡14 아이마당어린이집,발산1동,37.5580501,126.8240802
243,마곡5 해맑은어린이집,방화1동,37.56580015,126.817289
244,마곡6 마곡숲어린이집,방화1동,37.5657541,126.8196234
245,마곡7 미래꿈어린이집,방화1동,37.5645561,126.8238387
246,마곡2 해오름어린이집,방화1동,37.56882497,126.821411
247,마곡4 꿈의숲어린이집,가양1동,37.56890813,126.8242325
248,마곡15 누리어린이집,발산1동,37.55741872,126.8270293
249,마곡1 하람어린이집,방화1동,37.56847265,126.8183172
250,강서한강자이어린이집,가양1동,37.56632848,126.8481832
251,초롱어린이집,우장산동,37.54754619,126.8372075
252,리라어린이집,화곡본동,37.54057049,126.8488773
253,신원어린이집,염창동,37.55101498,126.8766502
254,해오름어린이집,발산1동,37.5580501,126.8240802
255,딸기어린이집,발산1동,37.5580501,126.8240802
256,새싹과 나무어린이집,가양1동,37.57011955,126.8232289
257,라임어린이집,우장산동,37.54754619,126.8372075
258,아이큰숲아기학교어린이집,화곡본동,37.54082423,126.8528847
259,우리아이어린이집,방화1동,37.56813846,126.8220979
260,사랑샘어린이집,방화1동,37.56580015,126.817289
261,포도나무어린이집,발산1동,37.55741872,126.8270293
262,별나라어린이집,우장산동,37.54754619,126.8372075
263,엔젤어린이집,우장산동,37.54754619,126.8372075
264,튼튼키즈어린이집,등촌2동,37.54680782,126.8611975
265,단이슬어린이집,공항동,37.55852978,126.8141321
266,다니엘어린이집,가양1동,37.56632848,126.8481832
267,염창누리봄어린이집,염창동,37.55527197,126.8729604
268,아이샘어린이집,화곡본동,37.54453782,126.8472353
269,단비어린이집,화곡6동,37.55192281,126.8530273
270,하늘샘어린이집,발산1동,37.55132743,126.8343116
271,해뜰아이어린이집,등촌3동,37.56538683,126.8422565
272,은빛어린이집,방화1동,37.57119058,126.8184277
273,애솔 어린이집,화곡8동,37.53683518,126.8465458
274,동글동글어린이집,가양3동,37.56375809,126.8592894
275,키즈파랑새어린이집,등촌2동,37.54977957,126.8621841
276,꼬모어린이집,염창동,37.55025171,126.8773969
277,하하호호어린이집,염창동,37.54785677,126.8744852
278,하늘누리어린이집,발산1동,37.54744128,126.8243614
279,이레어린이집,방화2동,37.56950854,126.8100263
280,아란어린이집,염창동,37.55225398,126.8746352
281,하울어린이집,등촌2동,37.54956453,126.860444
282,굿모닝어린이집,등촌1동,37.5592643,126.8557917
283,보배어린이집,화곡3동,37.54213386,126.838433
284,뚜띠어린이집,가양2동,37.56461212,126.8562786
285,쥬빌리어린이집,방화1동,37.56477123,126.8131535
286,예꿈어린이집,화곡1동,37.53402085,126.8375371
287,꼬마궁어린이집,화곡4동,37.53522639,126.8574975
288,아기천사어린이집,화곡2동,37.52940501,126.8557793
289,별고래어린이집,화곡8동,37.53231635,126.8487412
290,동성스마일어린이집,등촌3동,37.56466725,126.8457024
291,진영꼬마숲어린이집,화곡8동,37.53105978,126.8505586
292,사랑어린이집,가양1동,37.57121146,126.843592
293,주영어린이집,등촌2동,37.54643326,126.8603418
294,버클리 어린이집,발산1동,37.55247286,126.8301226
295,밀알몬테소리어린이집,등촌1동,37.55547391,126.8635379
296,뽀로로와친구들 어린이집,화곡본동,37.54109566,126.84928
297,아띠어린이집,화곡본동,37.53993071,126.8452771
298,리틀킹어린이집,염창동,37.54748216,126.872407
299,아이린어린이집,화곡8동,37.53553542,126.8476017
300,잼잼서밋어린이집,방화2동,37.56871328,126.8082169
301,친환경황토나라어린이집,방화2동,37.56575123,126.8109908
302,튼튼어린이집,등촌2동,37.5468903,126.8613782
303,가양아이사랑어린이집,가양3동,37.5603957,126.8573626
304,꿈꾸는어린이집,방화3동,37.57904334,126.8151607
305,예솔어린이집,화곡8동,37.53560357,126.8468607
306,에반어린이집,화곡8동,37.53211181,126.8479586
307,드림어린이집,발산1동,37.54944029,126.826284
308,BeBe스쿨어린이집,화곡8동,37.53687766,126.8483205
309,꿈비어린이집,발산1동,37.54766287,126.8219177
310,꿈땅어린이집,우장산동,37.55286625,126.8405335
311,민들레어린이집,가양3동,37.56375809,126.8592894
312,성산어린이집,방화2동,37.56529764,126.8114272
313,동부해맑은어린이집,공항동,37.56111186,126.8081653
314,단향어린이집,화곡8동,37.53646768,126.8471123
315,리틀현대아이어린이집,우장산동,37.55707841,126.8380811
316,아름드리어린이집,화곡본동,37.53898569,126.8457162
317,해피엔젤어린이집,화곡본동,37.54285851,126.8488207
318,나무와숲어린이집,방화2동,37.57156558,126.8102972
319,아이큰숲자연학교어린이집,화곡본동,37.54094334,126.8532464
320,아장아장어린이집,방화3동,37.57709885,126.8139782
321,더조은영재어린이집,방화1동,37.57038093,126.8211936
322,꼬마별어린이집,방화1동,37.57135761,126.8175428
323,사랑맘어린이집,방화1동,37.57038093,126.8211936
324,오즈의마법사어린이집,발산1동,37.55204782,126.8225609
325,마곡사임당어린이집,발산1동,37.55158665,126.8275827
326,꿈이있는어린이집,등촌1동,37.55462322,126.8641847
327,해송어린이집,화곡8동,37.53548127,126.849781
328,해사랑어린이집,발산1동,37.55385797,126.8276418
329,다해영재어린이집,우장산동,37.54826258,126.8409806
330,우일몬테소리어린이집,화곡2동,37.53511788,126.8556193
331,코코베베어린이집,염창동,37.55331418,126.8748906
332,동그라미어린이집,우장산동,37.54826258,126.8409806
333,파란하늘빛어린이집,가양1동,37.57444181,126.8372073
334,새서원어린이집,화곡1동,37.53861876,126.8394676
335,해울어린이집,염창동,37.5560552,126.8653078
336,수명산어린이집,발산1동,37.55356537,126.8305342
337,마곡 행복한i어린이집,발산1동,37.54987533,126.8258219
338,한결어린이집,우장산동,37.54826258,126.8409806
339,아기새어린이집,방화2동,37.56965202,126.8078287
340,아이랑어린이집,방화1동,37.57336423,126.8064083
341,e-다솔어린이집,발산1동,37.54871001,126.8351963
342,아이삭어린이집,발산1동,37.55356537,126.8305342
343,꿈사랑어린이집,발산1동,37.55356537,126.8305342
344,미소담어린이집,화곡1동,37.52879202,126.8422167
345,쁘띠아미 에꼴 어린이집,화곡4동,37.53670539,126.8555805
346,지니어스 발산 어린이집,발산1동,37.55117388,126.8289293
347,유창어린이집,우장산동,37.5534688,126.8387179
348,썬에듀스쿨어린이집,화곡1동,37.53166489,126.8397003
349,레드로빈어린이집,염창동,37.54993101,126.8696279
350,발산 빅스맘 어린이집,우장산동,37.5522644,126.8371807
351,토란어린이집,방화1동,37.57221258,126.8219194
352,혜시의사과나무어린이집,화곡3동,37.54780505,126.8341023
353,열매어린이집,화곡3동,37.54240404,126.8363808
354,숲속나라어린이집,화곡본동,37.54026625,126.8458328
355,해아띠스쿨어린이집,화곡본동,37.54081527,126.8469033
356,포도원어린이집,방화3동,37.5794087,126.8125928
357,수성어린이집,화곡1동,37.53634114,126.8408768
358,조은어린이집,방화2동,37.57102749,126.8063998
359,자연숲예뜰어린이집,화곡1동,37.53574649,126.840948
360,엄마사랑어린이집,방화3동,37.5794087,126.8125928
361,배광 어린이집,등촌2동,37.53901616,126.8632782
362,대림어린이집,등촌3동,37.56361691,126.8473931
363,화동교회방과후어린이집,화곡2동,37.53109749,126.8552993
364,별강서어린이집,화곡6동,37.54892093,126.8514915
365,아이뜰어린이집,화곡1동,37.53382373,126.8446536
366,강서구청어린이집,화곡6동,37.54977567,126.8509647
367,현대i어린이집,우장산동,37.55707841,126.8380811
368,예쁜어린이집,화곡본동,37.54305925,126.8469301
369,자연어린이집,공항동,37.56355494,126.8152481
370,새빛어린이집,화곡1동,37.53964544,126.8355955
371,사랑가정어린이집,화곡6동,37.55050875,126.8471089
372,명지어린이집,화곡4동,37.53694169,126.8563657
373,단꿈어린이집,가양1동,37.57564019,126.8368535
374,해다미어린이집,화곡2동,37.53164619,126.8533924
375,숲으로 가는 어린이집,염창동,37.55247236,126.8714342
376,아이파크어린이집,등촌2동,37.54472977,126.8615933
377,사랑둥이어린이집,우장산동,37.55707841,126.8380811
378,나무와열매어린이집,방화3동,37.57425563,126.8201679
379,현대키즈어린이집,염창동,37.55181162,126.8740724
380,동산어린이집,염창동,37.55153551,126.8755553
381,동광어린이집,염창동,37.55331418,126.8748906
382,하얀마음어린이집,화곡본동,37.54137561,126.8491479
383,새소망어린이집,화곡2동,37.53527929,126.852446
384,소라어린이집,화곡2동,37.53309734,126.8563236
385,예원비전스쿨어린이집,화곡본동,37.53946588,126.8463054
386,꿈초롱어린이집,가양3동,37.55855504,126.8633761
387,아이꿈어린이집,등촌3동,37.56121729,126.8446357
388,꿈을여는어린이집,화곡4동,37.53353374,126.8592773
389,새빛아이어린이집,화곡3동,37.54513356,126.8362774
390,개구리 어린이집,화곡본동,37.53920479,126.8506736
391,초록영재어린이집,화곡본동,37.54181262,126.850233
392,혜화어린이집,방화1동,37.57242037,126.8135318
393,까꿍어린이집,화곡2동,37.53092499,126.8561429
394,푸른꿈어린이집,등촌1동,37.55516187,126.8619632
395,사과나무어린이집,방화1동,37.57106072,126.8138386
396,주연어린이집,화곡본동,37.54157248,126.8472552
397,발산어린이집,우장산동,37.55446218,126.8422029
398,하은어린이집,등촌3동,37.56108007,126.8408477
399,쑥쑥어린이집,방화1동,37.56521098,126.8154259
400,방화엔젤어린이집,방화3동,37.57680385,126.8102869
401,마곡자연숲어린이집,발산1동,37.55185777,126.8247079
402,오즈 어린이집,방화1동,37.57488098,126.8143291
403,동성어린이집,화곡본동,37.54063446,126.8453949
404,동화나라어린이집,방화3동,37.57384876,126.8172458
405,롯데어린이집,화곡6동,37.55639458,126.8495467
406,리틀빌리지어린이집,염창동,37.54990722,126.8700363
407,공간어린이집,염창동,37.55527197,126.8729604
408,푸르미어린이집,염창동,37.55511856,126.8688646
409,나래어린이집,방화1동,37.57458177,126.8126839
410,강서어린이집,화곡6동,37.54896443,126.850906
411,한마음 어린이집,염창동,37.55444115,126.8685891
412,별빛어린이집,등촌1동,37.55474529,126.856853
413,햇살어린이집,화곡6동,37.55119671,126.8464489
414,세누리어린이집,화곡8동,37.53579541,126.8453521
415,구립공항어린이집,공항동,37.55704139,126.8146261
416,구립 하늘숲어린이집,화곡3동,37.54338922,126.8344626
417,석란어린이집,화곡8동,37.53827443,126.8473684
418,엄마품어린이집,가양1동,37.57121146,126.843592
419,로뎀어린이집,방화1동,37.57196429,126.8157728
420,새자연어린이집,방화3동,37.57709885,126.8139782
421,몬테소리동화나라어린이집,방화1동,37.56915814,126.8162862
422,행복한 아이들 어린이집,화곡6동,37.55047324,126.8519043
423,프란치스코어린이집,공항동,37.55612382,126.8115578
424,아름다운어린이집,등촌2동,37.54498137,126.8620071
425,새영어린이집,염창동,37.55805032,126.8657452
426,또래방어린이집,우장산동,37.54826258,126.8409806
427,봄누리어린이집,발산1동,37.5506845,126.8360719
428,아침해 어린이집,염창동,37.55025171,126.8773969
429,꼬마숲어린이집,화곡3동,37.54531541,126.8330781
430,동아어린이집,염창동,37.55025171,126.8773969
431,하나영재어린이집,가양3동,37.5603957,126.8573626
432,한나어린이집,화곡4동,37.53305183,126.860138
433,화곡꼬마천사어린이집,화곡본동,37.53938792,126.8427994
434,병아리어린이집,등촌3동,37.56059931,126.8476189
435,늘품어린이집,화곡8동,37.53597151,126.8467037
436,초록별어린이집,화곡3동,37.54531541,126.8330781
437,고은쁘띠에꼴어린이집,가양1동,37.57101357,126.8465852
438,달님별님어린이집,화곡4동,37.5323853,126.858501
439,아이꿈터어린이집,가양3동,37.55855504,126.8633761
440,초록어린이집,화곡본동,37.5409501,126.8510912
441,까치산어린이집,화곡8동,37.53238327,126.8485149
442,아이세상어린이집,가양1동,37.57121146,126.843592
443,아기둥지어린이집,가양1동,37.57121146,126.843592
444,아이미소어린이집,화곡1동,37.53156083,126.8462054
445,천사어린이집,화곡1동,37.53166645,126.8451876
446,제일어린이집,화곡4동,37.53489548,126.8576747
447,유림어린이집,화곡1동,37.52877809,126.8444205
448,유성어린이집,우장산동,37.55247856,126.8377591
449,미소가득어린이집,방화1동,37.57131207,126.8199823
450,예은어린이집,방화3동,37.57807299,126.8148839
451,구립 배다리어린이집,화곡1동,37.53127824,126.8395428
452,화곡어린이집,화곡본동,37.54378035,126.8466786
453,샛별영재어린이집,가양3동,37.56375809,126.8592894
454,고모랑이모랑어린이집,공항동,37.55895098,126.8108298
455,정도어린이집,화곡1동,37.53861876,126.8394676
456,서울YMCA방화어린이집,방화2동,37.57072031,126.8057256
457,해솔어린이집,가양2동,37.56593184,126.8520692
458,꿈나무어린이집,가양2동,37.56224357,126.8542071
459,신영광어린이집,등촌3동,37.56023933,126.8516942
460,은초록어린이집,등촌3동,37.56225601,126.8429044
461,어린왕자어린이집,화곡8동,37.53506239,126.846277
462,늘푸른어린이집,화곡1동,37.53407248,126.8417257
463,성모어린이집,등촌3동,37.56023933,126.8516942
464,푸른어린이집,등촌3동,37.5619516,126.8502091
465,둥근마음어린이집,등촌3동,37.56538683,126.8422565
466,구립볏고을어린이집,화곡6동,37.55156568,126.8561174
467,상록어린이집,방화3동,37.57813897,126.8112043
468,즐거운어린이집,가양2동,37.56462738,126.8535196
469,귀염이어린이집,가양1동,37.57127504,126.8422775
470,보성어린이집,방화3동,37.57425563,126.8201679
471,예손어린이집,가양2동,37.56375478,126.853092
472,예심어린이집,우장산동,37.54431004,126.8423605
473,하얀돌어린이집,등촌2동,37.54588508,126.8600237
474,국공립 가양 7 어린이집,가양3동,37.56173898,126.8615915
475,캥거루어린이집,화곡1동,37.53659679,126.8373317
476,새싹어린이집,방화1동,37.57053094,126.8133909
477,현대어린이집,염창동,37.55331418,126.8748906
478,염창어린이집,염창동,37.55039425,126.8694934
479,구립 가양 어린이집,가양1동,37.5699024,126.84089
480,해바라기어린이집,화곡4동,37.53731302,126.855795
481,은도어린이집,화곡1동,37.54016064,126.84073
482,구립 아이솔 어린이집,방화2동,37.56443212,126.8073379
