어린이집명,운영현황,주소,행정동,위도,경도
쑥쑥어린이집,휴지,서울특별시 강서구 방화대로25길 16 (방화동 608-100),방화1동,37.56521098,126.8154259
방화엔젤어린이집,정상,서울특별시 강서구 금낭화로 287-19 (방화동),방화3동,37.57680385,126.8102869
마곡자연숲어린이집,정상,서울특별시 강서구 수명로1길 110 마곡수명산파크3단지 303,발산1동,37.55185777,126.8247079
오즈 어린이집,정상,서울특별시 강서구 방화대로45길 32 101동 102호(방화동,방화1동,37.57488098,126.8143291
동성어린이집,정상,서울특별시 강서구 강서로26길 63,화곡본동,37.54063446,126.8453949
동화나라어린이집,정상,서울특별시 강서구 양천로 125 101동 107호(방화동,방화3동,37.57384876,126.8172458
롯데어린이집,정상,서울특별시 강서구 공항대로 382 롯데낙천대아파트 단지 내  롯데어린이집,화곡6동,37.55639458,126.8495467
리틀빌리지어린이집,정상,서울특별시 강서구 공항대로67길 29-4,염창동,37.54990722,126.8700363
공간어린이집,정상,서울특별시 강서구 양천로69길 58 공간어린이집 (염창동),염창동,37.55527197,126.8729604
푸르미어린이집,정상,서울특별시 강서구 양천로67길 32 103동 105호(염창동,염창동,37.55511856,126.8688646
나래어린이집,정상,서울특별시 강서구 양천로17길 25 (방화동),방화1동,37.57458177,126.8126839
강서어린이집,정상,서울특별시 강서구 까치산로 128 (화곡동),화곡6동,37.54896443,126.850906
한마음 어린이집,정상,서울특별시 강서구 양천로 637 101동 103호(염창동,염창동,37.55444115,126.8685891
별빛어린이집,정상,서울특별시 강서구 공항대로 447 (등촌동),등촌1동,37.55474529,126.856853
햇살어린이집,정상,서울특별시 강서구 화곡로53길 43-13,화곡6동,37.55119671,126.8464489
세누리어린이집,휴지,서울특별시 강서구 초록마을로36길 1 (화곡동),화곡8동,37.53579541,126.8453521
구립공항어린이집,정상,서울특별시 강서구 남부순환로11길 81 (공항동),공항동,37.55704139,126.8146261
구립 하늘숲어린이집,정상,서울특별시 강서구 강서로45다길 102 (화곡동),화곡3동,37.54338922,126.8344626
석란어린이집,정상,서울특별시 강서구 초록마을로32길 38 (화곡동),화곡8동,37.53827443,126.8473684
엄마품어린이집,정상,서울특별시 강서구 허준로 23 101동 104호(가양동,가양1동,37.57121146,126.843592
로뎀어린이집,정상,서울특별시 강서구 양천로24길 31 로뎀어린이집 (방화동),방화1동,37.57196429,126.8157728
새자연어린이집,정상,서울특별시 강서구 방화대로47가길 22 삼익아파트 내 유치원동 (방화동),방화3동,37.57709885,126.8139782
몬테소리동화나라어린이집,정상,서울특별시 강서구 방화대로 319 101동 102호(방화동,방화1동,37.56915814,126.8162862
행복한 아이들 어린이집,휴지,서울특별시 강서구 까치산로 145 (화곡동),화곡6동,37.55047324,126.8519043
프란치스코어린이집,정상,서울특별시 강서구 송정로1길 13 프란치스코어린이집,공항동,37.55612382,126.8115578
아름다운어린이집,휴지,서울특별시 강서구 등촌로 169 (등촌동),등촌2동,37.54498137,126.8620071
새영어린이집,정상,서울특별시 강서구 양천로63길 58 벽산아파트 관리동 새영어린이집,염창동,37.55805032,126.8657452
또래방어린이집,정상,서울특별시 강서구 강서로 266 126동 104호(화곡동,우장산동,37.54826258,126.8409806
봄누리어린이집,휴지,서울특별시 강서구 강서로 279 서광빌딩 2층 (내발산동),발산1동,37.5506845,126.8360719
아침해 어린이집,정상,서울특별시 강서구 양천로 731 동아3차아파트 관리소2층 아침해어린이집,염창동,37.55025171,126.8773969
꼬마숲어린이집,정상,서울특별시 강서구 강서로45다길 30-27 초록아파트 단지 내 관리사무소 1층 꼬마숲어린이집,화곡3동,37.54531541,126.8330781
동아어린이집,정상,서울특별시 강서구 양천로 731 306동 102호(염창동,염창동,37.55025171,126.8773969
하나영재어린이집,정상,서울특별시 강서구 양천로 507 강나루현대아파트 단지내 (가양동),가양3동,37.5603957,126.8573626
한나어린이집,정상,서울특별시 강서구 등촌로5길 60 (화곡동),화곡4동,37.53305183,126.860138
화곡꼬마천사어린이집,정상,서울특별시 강서구 강서로26길 11 (화곡동),화곡본동,37.53938792,126.8427994
병아리어린이집,정상,서울특별시 강서구 공항대로 351-21 101동 106호(등촌동,등촌3동,37.56059931,126.8476189
늘품어린이집,정상,서울특별시 강서구 강서로18다길 41 2층,화곡8동,37.53597151,126.8467037
초록별어린이집,정상,서울특별시 강서구 강서로45다길 30-27 106동 201호(화곡동,화곡3동,37.54531541,126.8330781
고은쁘띠에꼴어린이집,정상,서울특별시 강서구 허준로 47 가양2단지도시개발아파트 관리사무소내 (가양동),가양1동,37.57101357,126.8465852
달님별님어린이집,정상,서울특별시 강서구 곰달래로51길 14 (화곡동),화곡4동,37.5323853,126.858501
아이꿈터어린이집,정상,서울특별시 강서구 허준로 234 가양아파트 9단지내 관리사무실 2층 (가양동),가양3동,37.55855504,126.8633761
초록어린이집,정상,서울특별시 강서구 초록마을로 81 (화곡동),화곡본동,37.5409501,126.8510912
까치산어린이집,정상,서울특별시 강서구 강서로12길 29-10,화곡8동,37.53238327,126.8485149
아이세상어린이집,정상,서울특별시 강서구 허준로 23 105동 106호(가양동,가양1동,37.57121146,126.843592
아기둥지어린이집,정상,서울특별시 강서구 허준로 23 109동 103호(가양동,가양1동,37.57121146,126.843592
아이미소어린이집,휴지,서울특별시 강서구 강서로 43-6,화곡1동,37.53156083,126.8462054
천사어린이집,정상,서울특별시 강서구 강서로13길 28 (화곡동),화곡1동,37.53166645,126.8451876
제일어린이집,정상,서울특별시 강서구 곰달래로53길 80 (화곡동),화곡4동,37.53489548,126.8576747
유림어린이집,정상,서울특별시 강서구 곰달래로22길 35 유림어린이집 (화곡동),화곡1동,37.52877809,126.8444205
유성어린이집,정상,서울특별시 강서구 강서로48길 22 (내발산동),우장산동,37.55247856,126.8377591
미소가득어린이집,정상,서울특별시 강서구 방화대로40길 66 태승훼미리 105호 (방화동),방화1동,37.57131207,126.8199823
예은어린이집,정상,서울특별시 강서구 방화대로49길 52,방화3동,37.57807299,126.8148839
구립 배다리어린이집,정상,서울특별시 강서구 곰달래로15길 25 (화곡동),화곡1동,37.53127824,126.8395428
화곡어린이집,정상,서울특별시 강서구 까치산로 60 화곡어린이집 (화곡동),화곡본동,37.54378035,126.8466786
샛별영재어린이집,정상,서울특별시 강서구 허준로 175 607동 103호(가양동,가양3동,37.56375809,126.8592894
고모랑이모랑어린이집,정상,서울특별시 강서구 송정로 46-6,공항동,37.55895098,126.8108298
정도어린이집,정상,서울특별시 강서구 화곡로24길 55 서울특별시 강서구 화곡로24길55,화곡1동,37.53861876,126.8394676
서울YMCA방화어린이집,정상,서울특별시 강서구 개화동로21길 4 방화11단지아파트 내 서울YMCA방화어린이집 (방화동),방화2동,37.57072031,126.8057256
해솔어린이집,정상,서울특별시 강서구 양천로57길 37 (가양동),가양2동,37.56593184,126.8520692
꿈나무어린이집,정상,서울특별시 강서구 양천로 489 104동 101호(가양동,가양2동,37.56224357,126.8542071
신영광어린이집,정상,서울특별시 강서구 공항대로43길 104 주공아파트 8단지관리사무소2층 (등촌동),등촌3동,37.56023933,126.8516942
은초록어린이집,정상,서울특별시 강서구 공항대로39길 59 은초록어린이집 (등촌동),등촌3동,37.56225601,126.8429044
어린왕자어린이집,정상,서울특별시 강서구 강서로18가길 25 (화곡동),화곡8동,37.53506239,126.846277
늘푸른어린이집,정상,서울특별시 강서구 가로공원로76가길 53 2층 (화곡동),화곡1동,37.53407248,126.8417257
성모어린이집,정상,서울특별시 강서구 공항대로43길 104 주공아파트 7단지 등촌7복지관 성모어린이집 (등촌동),등촌3동,37.56023933,126.8516942
푸른어린이집,정상,서울특별시 강서구 화곡로63가길 92 (등촌동),등촌3동,37.5619516,126.8502091
둥근마음어린이집,정상,서울특별시 강서구 강서로68길 36 주공1단지내 둥근마음어린이집 (등촌동),등촌3동,37.56538683,126.8422565
구립볏고을어린이집,정상,서울특별시 강서구 화곡로58길 100 (화곡동),화곡6동,37.55156568,126.8561174
상록어린이집,정상,서울특별시 강서구 금낭화로23길 25 (방화동),방화3동,37.57813897,126.8112043
즐거운어린이집,정상,서울특별시 강서구 양천로57길 36 도시개발아파트 5단지 내 (가양동),가양2동,37.56462738,126.8535196
귀염이어린이집,정상,서울특별시 강서구 강서로 532 101동 102호(가양동,가양1동,37.57127504,126.8422775
보성어린이집,정상,서울특별시 강서구 방화대로48길 40 (방화동),방화3동,37.57425563,126.8201679
예손어린이집,정상,서울특별시 강서구 양천로57길 26 예손어린이집 (가양동),가양2동,37.56375478,126.853092
예심어린이집,정상,서울특별시 강서구 화곡로31길 18-3,우장산동,37.54431004,126.8423605
하얀돌어린이집,정상,서울특별시 강서구 등촌로39가길 10 (등촌동),등촌2동,37.54588508,126.8600237
국공립 가양 7 어린이집,정상,서울특별시 강서구 허준로 209 (가양동),가양3동,37.56173898,126.8615915
캥거루어린이집,정상,서울특별시 강서구 가로공원로76길 9 (화곡동),화곡1동,37.53659679,126.8373317
새싹어린이집,정상,서울특별시 강서구 양천로24가길 73 (방화동),방화1동,37.57053094,126.8133909
현대어린이집,정상,서울특별시 강서구 양천로75길 57 104동 109호(염창동,염창동,37.55331418,126.8748906
염창어린이집,정상,서울특별시 강서구 공항대로65길 43 염창어린이집 (염창동),염창동,37.55039425,126.8694934
구립 가양 어린이집,정상,서울특별시 강서구 양천로49길 26 (가양동),가양1동,37.5699024,126.84089
해바라기어린이집,정상,서울특별시 강서구 등촌로13자길 39-16,화곡4동,37.53731302,126.855795
은도어린이집,정상,서울특별시 강서구 화곡로26길 33 (화곡동),화곡1동,37.54016064,126.84073
구립 아이솔 어린이집,정상,서울특별시 강서구 개화동로27길 13 (방화동),방화2동,37.56443212,126.8073379
한울어린이집,정상,서울특별시 강서구 우현로 34,우장산동,37.54828859,126.8418363
