어린이집명,운영현황,주소,행정동,위도,경도
구립 큰별어린이집,정상,서울특별시 강서구 화곡로63가길 71 1005동 106호(등촌동,등촌3동,37.56308148,126.8488956
구립 아기별어린이집,정상,서울특별시 강서구 강서로 348 108동 101호(내발산동,우장산동,37.55707841,126.8380811
구립 꼬꼬마라인어린이집,정상,서울특별시 강서구 화곡로68길 33 102동 101호(등촌동,등촌1동,37.5592643,126.8557917
마곡8 열린숲어린이집,정상,서울특별시 강서구 마곡서1로 81 807동 1층(마곡동,방화1동,37.56436639,126.8191544
마곡12 온새미어린이집,정상,서울특별시 강서구 공항대로 140 1205동 1층(마곡동,공항동,37.55925659,126.8233888
마곡10 별솔어린이집,정상,서울특별시 강서구 마곡중앙1로 72 1012동 1층(마곡동,공항동,37.55904001,126.8200632
마곡11 나무햇살어린이집,정상,서울특별시 강서구 공항대로 124 1103동 1층(마곡동,공항동,37.55946179,126.8207286
행복한어린이집,정상,서울특별시 강서구 마곡중앙1로 72 1018동 101호(마곡동,공항동,37.55904001,126.8200632
미소어린이집,정상,서울특별시 강서구 마곡서1로 81 804동 103호(마곡동,방화1동,37.56436639,126.8191544
구립 드보라어린이집,정상,서울특별시 강서구 강서로47길 63 103호(내발산동,발산1동,37.5527677,126.8326711
구립 태진한솔어린이집,정상,서울특별시 강서구 공항대로71길 54 103동 101호(염창동,염창동,37.54904495,126.874521
구립 늘사랑어린이집,정상,서울특별시 강서구 등촌로 163 102동 102호(등촌동,등촌2동,37.54472977,126.8615933
구립 소은어린이집,정상,서울특별시 강서구 양천로67길 77 104동 101호(염창동,염창동,37.55553061,126.870358
구립 보솜어린이집,정상,서울특별시 강서구 공항대로43길 39 1106동 1층 6호,등촌3동,37.55928952,126.8496458
구립 뽄다어린이집,정상,서울특별시 강서구 강서로17라길 7-8 (화곡동),화곡1동,37.53287976,126.8403375
홈플러스어린이집,정상,서울특별시 강서구 화곡로 398 1층(등촌동,등촌1동,37.55846996,126.854819
마곡 이화어린이집,정상,서울특별시 강서구 마곡중앙3로 74 관리동 1층(마곡동,방화1동,37.56469676,126.8184329
미즈메디어린이집,정상,서울특별시 강서구 우장산로4길 25 1004동 1층 101호,우장산동,37.55319664,126.8394616
구립 푸른별어린이집,정상,서울특별시 강서구 강서로47길 158 201동 104호,발산1동,37.55385797,126.8276418
구립 스마일어린이집,정상,서울특별시 강서구 강서로 266 114동 103호(화곡동,우장산동,37.54826258,126.8409806
구립 노블키즈어린이집,정상,서울특별시 강서구 강서로47길 108 109동 102호,발산1동,37.55356537,126.8305342
한국공항공사어린이집,정상,서울특별시 강서구 하늘길 78 .,공항동,37.56090185,126.7997108
도토리어린이집,정상,서울특별시 강서구 곰달래로51길 46,화곡4동,37.53381928,126.8580868
KB강서어린이집,정상,서울특별시 강서구 양천로 643 2층,염창동,37.55359337,126.8690417
강서힐스테이트어린이집,정상,서울특별시 강서구 우현로 67,우장산동,37.54754619,126.8372075
하나린어린이집,정상,서울특별시 강서구 수명로1길 133,발산1동,37.55392324,126.8255151
지니어스어린이집,정상,서울특별시 강서구 화곡로68길 102 서울 시니어스 가양타워 1층,등촌1동,37.55698878,126.8593316
마곡아이숲어린이집,정상,서울특별시 강서구 마곡중앙로 36 1503동 105호(발산1동,발산1동,37.55741872,126.8270293
마곡3 연두어린이집,정상,서울특별시 강서구 마곡서1로 132,방화1동,37.56849345,126.8195404
마곡14 아이마당어린이집,정상,서울특별시 강서구 마곡중앙로 33 상가동 1층,발산1동,37.5580501,126.8240802
마곡5 해맑은어린이집,정상,서울특별시 강서구 마곡서1로 111-11,방화1동,37.56580015,126.817289
마곡6 마곡숲어린이집,정상,서울특별시 강서구 마곡서1로 100,방화1동,37.5657541,126.8196234
마곡7 미래꿈어린이집,정상,서울특별시 강서구 마곡서로 133,방화1동,37.5645561,126.8238387
마곡2 해오름어린이집,정상,서울특별시 강서구 마곡서1로 146,방화1동,37.56882497,126.821411
마곡4 꿈의숲어린이집,정상,서울특별시 강서구 마곡서로 175,가양1동,37.56890813,126.8242325
마곡15 누리어린이집,정상,서울특별시 강서구 마곡중앙로 36,발산1동,37.55741872,126.8270293
마곡1 하람어린이집,정상,서울특별시 강서구 마곡서1로 131,방화1동,37.56847265,126.8183172
강서한강자이어린이집,정상,서울특별시 강서구 양천로55길 55 강서한강자이 관리동어린이집,가양1동,37.56632848,126.8481832
초롱어린이집,정상,"서울특별시 강서구 우현로 67 (화곡동, 강서힐스테이트)",우장산동,37.54754619,126.8372075
리라어린이집,정상,서울특별시 강서구 초록마을로18길 36,화곡본동,37.54057049,126.8488773
신원어린이집,정상,서울특별시 강서구 양천로77길 45 무학아파트 상가동,염창동,37.55101498,126.8766502
해오름어린이집,정상,서울특별시 강서구 마곡중앙로 33 1401동 102호,발산1동,37.5580501,126.8240802
딸기어린이집,정상,서울특별시 강서구 마곡중앙로 33 마곡엠밸리 14단지 1403-105,발산1동,37.5580501,126.8240802
새싹과 나무어린이집,정상,"서울특별시 강서구 양천로30길 77 (마곡동, 한솔솔파크아파트)",가양1동,37.57011955,126.8232289
라임어린이집,정상,서울특별시 강서구 우현로 67 113동 103호(화곡동,우장산동,37.54754619,126.8372075
아이큰숲아기학교어린이집,정상,서울특별시 강서구 초록마을로21길 29,화곡본동,37.54082423,126.8528847
우리아이어린이집,정상,서울특별시 강서구 양천로30길 108 101동 101호,방화1동,37.56813846,126.8220979
사랑샘어린이집,정상,서울특별시 강서구 마곡서1로 111-11 마곡엠밸리 503-104,방화1동,37.56580015,126.817289
포도나무어린이집,정상,서울특별시 강서구 마곡중앙로 36 마곡엠벨리 15단지 1513-127,발산1동,37.55741872,126.8270293
별나라어린이집,정상,서울특별시 강서구 우현로 67 108동 101호(화곡동,우장산동,37.54754619,126.8372075
엔젤어린이집,정상,서울특별시 강서구 우현로 67 119동 103호,우장산동,37.54754619,126.8372075
튼튼키즈어린이집,정상,서울특별시 강서구 등촌로39라길 19,등촌2동,37.54680782,126.8611975
단이슬어린이집,정상,서울특별시 강서구 공항대로8가길 40,공항동,37.55852978,126.8141321
다니엘어린이집,재개,서울특별시 강서구 양천로55길 55 108동 102호(가양동,가양1동,37.56632848,126.8481832
염창누리봄어린이집,정상,서울특별시 강서구 양천로69길 58 염창동 동아1차 아파트 101-112,염창동,37.55527197,126.8729604
아이샘어린이집,정상,서울특별시 강서구 까치산로12길 8-9,화곡본동,37.54453782,126.8472353
단비어린이집,정상,서울특별시 강서구 까치산로 166,화곡6동,37.55192281,126.8530273
하늘샘어린이집,정상,서울특별시 강서구 강서로47다길 35,발산1동,37.55132743,126.8343116
해뜰아이어린이집,휴지,서울특별시 강서구 강서로68길 36 등촌2단지주공아파트204동105호,등촌3동,37.56538683,126.8422565
은빛어린이집,정상,서울특별시 강서구 방화대로44길 49,방화1동,37.57119058,126.8184277
애솔 어린이집,정상,서울특별시 강서구 초록마을로 162-30,화곡8동,37.53683518,126.8465458
동글동글어린이집,정상,서울특별시 강서구 허준로 175 가양6단지아파트 603동 101호,가양3동,37.56375809,126.8592894
키즈파랑새어린이집,정상,서울특별시 강서구 공항대로58길 46 등촌동 532-7,등촌2동,37.54977957,126.8621841
꼬모어린이집,정상,서울특별시 강서구 양천로 731 동아3차 305-103,염창동,37.55025171,126.8773969
