Index,호선명,지하철역,위도,경도
1,01호선,가능,37.748577,127.044213
2,01호선,가산디지털단지,37.481072,126.882343
3,01호선,간석,37.464737,126.694181
4,01호선,개봉,37.494594,126.85868
5,01호선,관악,37.419232,126.908706
6,01호선,광명,37.416182,126.884466
7,01호선,광운대,37.623632,127.061835
8,01호선,구로,37.503039,126.881966
9,01호선,구일,37.496756,126.870793
10,01호선,군포,37.35356,126.948462
11,01호선,금정,37.372221,126.943429
12,01호선,금천구청,37.455626,126.89398
13,01호선,남영,37.541021,126.9713
14,01호선,노량진,37.514219,126.942454
15,01호선,녹양,37.75938,127.042292
16,01호선,녹천,37.644799,127.051269
17,01호선,당정,37.344285,126.948345
18,01호선,대방,37.513342,126.926382
19,01호선,덕계,37.818486,127.056486
20,01호선,덕정,37.843188,127.061277
21,01호선,도봉,37.679563,127.045595
22,01호선,도봉산,37.689313,127.046222
23,01호선,도원,37.468446,126.642706
24,01호선,도화,37.46607,126.668672
25,01호선,독산,37.466613,126.889249
26,01호선,동대문,37.57142,127.009745
27,01호선,동두천,37.927878,127.05479
28,01호선,동두천중앙,37.901885,127.056482
29,01호선,동묘앞,37.572627,127.016429
30,01호선,동암,37.471408,126.702896
31,01호선,동인천,37.475276,126.632802
32,01호선,두정,36.833705,127.14896
33,01호선,망월사,37.709914,127.047455
34,01호선,명학,37.384653,126.935433
35,01호선,방학,37.667503,127.044273
36,01호선,배방,36.777629,127.052991
37,01호선,백운,37.483664,126.707704
38,01호선,병점,37.207503,127.032731
39,01호선,보산,37.913702,127.057277
40,01호선,봉명,36.801215,127.135763
41,01호선,부개,37.488418,126.74109
42,01호선,부천,37.48405,126.782686
43,01호선,부평,37.489493,126.724805
44,01호선,서동탄,37.195504,127.051672
45,01호선,서울,37.554648,126.972559
46,01호선,서정리,37.056496,127.052819
47,01호선,석계,37.614805,127.065851
48,01호선,석수,37.435047,126.902295
49,01호선,성균관대,37.300349,126.97075
50,01호선,성환,36.916076,127.126964
51,01호선,세류,37.245025,127.013222
52,01호선,세마,37.187533,127.04318
53,01호선,소사,37.482753,126.79544
54,01호선,소요산,37.9481,127.061034
55,01호선,송내,37.4876,126.753664
56,01호선,송탄,37.075696,127.054301
57,01호선,수원,37.265974,126.999874
