호선명,지하철역,위도,경도,상세주소,행정동
1호선,가산디지털단지,37.481072,126.882343,서울 금천구 가산동 371-28,가산동
1호선,개봉,37.494594,126.85868,서울 구로구 개봉동 415,개봉2동
1호선,광운대,37.623632,127.061835,서울 노원구 월계동 85,월계1동
1호선,구로,37.503039,126.881966,서울 구로구 구로동 589-14,구로5동
1호선,구일,37.496756,126.870793,서울 구로구 구로동 636-45,구로2동
1호선,금천구청,37.455626,126.89398,서울 금천구 시흥동 113-55,시흥1동
1호선,남영,37.541021,126.9713,서울 용산구 갈월동 96-1,남영동
1호선,노량진,37.514219,126.942454,서울 동작구 노량진동 67-2,노량진1동
1호선,녹천,37.644799,127.051269,서울특별시 도봉구 덕릉로 376,창1동
1호선,대방,37.513342,126.926382,서울 영등포구 신길동 1368-3,신길7동
1호선,도봉,37.679563,127.045595,서울 도봉구 도봉동 639,도봉2동
1호선,도봉산,37.689313,127.046222,서울 도봉구 도봉동 18-1,도봉2동
1호선,독산,37.466613,126.889249,서울 금천구 가산동 717,가산동
1호선,동대문,37.57142,127.009745,서울 종로구 종로6가 94-1,종로5.6가동
1호선,동묘앞,37.572627,127.016429,서울 종로구 숭인동 296-24,숭인2동
1호선,방학,37.667503,127.044273,서울 도봉구 방학동 728,방학1동
1호선,서울,37.554648,126.972559,서울 중구 봉래동2가 166,회현동
1호선,석계,37.614805,127.065851,서울 성북구 석관동 375-15,석관동
1호선,시청,37.564718,126.977108,서울 중구 을지로1가 50-1,소공동
1호선,신길,37.517122,126.917169,서울 영등포구 신길동 41-1,신길1동
1호선,신도림,37.508725,126.891295,서울 구로구 신도림동 460-26,구로5동
1호선,신설동,37.575297,127.025087,서울 동대문구 신설동 102-21,용신동
1호선,신이문,37.601854,127.067325,서울 동대문구 이문동 360-1,이문2동
1호선,영등포,37.515504,126.907628,서울 영등포구 영등포동 618-496,영등포본동
1호선,오류동,37.494526,126.845365,서울 구로구 오류동 66,오류2동
1호선,온수,37.492258,126.823388,서울 구로구 온수동 53-13,수궁동
1호선,외대앞,37.596073,127.063549,서울 동대문구 이문동 360-9,이문1동
1호선,용산,37.529849,126.964561,서울 용산구 한강로3가 40-999,한강로동
1호선,월계,37.633212,127.058831,서울 노원구 월계동 263-6,월계2동
1호선,제기동,37.578103,127.034893,서울 동대문구 용두동 47-1,용신동
1호선,종각,37.570161,126.982923,서울 종로구 종로1가 54,종로1.2.3.4가동
1호선,종로3가,37.571607,126.991806,서울 종로구 묘동 20-5,종로1.2.3.4가동
1호선,종로5가,37.570926,127.001849,서울 종로구 종로5가 82-1,종로5.6가동
1호선,창동,37.653166,127.047731,서울 도봉구 창동 135-1,창5동
1호선,청량리,37.580178,127.046835,서울 동대문구 전농동 588-1,전농1동
1호선,회기,37.58946,127.057583,서울 동대문구 휘경동 317-101,휘경1동
2호선,강남,37.497175,127.027926,서울 서초구 서초동 1374,서초2동
2호선,강변,37.535095,127.094681,서울 광진구 구의동 546-6,구의3동
2호선,건대입구,37.540693,127.07023,서울 광진구 화양동 6-4,화양동
2호선,교대,37.493415,127.01408,서울 서초구 서초동 1672-9,서초1동
2호선,구로디지털단지,37.485266,126.901401,서울 구로구 구로동 810-3,구로3동
2호선,구의,37.537077,127.085916,서울 광진구 구의동 245-24,자양2동
2호선,까치산,37.531768,126.846683,서울 강서구 화곡동 662-5,화곡1동
2호선,낙성대,37.47693,126.963693,서울 관악구 봉천동 1693-39,인헌동
2호선,당산,37.53438,126.902281,서울 영등포구 당산동6가 323-1,당산2동
2호선,대림,37.49297,126.895801,서울 영등포구 대림동 1052-32,대림3동
2호선,도림천,37.514287,126.882768,서울 구로구 신도림동 271-11,신도림동
2호선,동대문역사문화공원,37.565138,127.007896,서울 중구 을지로7가 132-2,광희동
2호선,뚝섬,37.547184,127.047367,서울 성동구 성수동1가 656-745,성수1가2동
2호선,문래,37.517933,126.89476,서울 영등포구 문래동3가 68-1,문래동
2호선,방배,37.481426,126.997596,서울 서초구 방배동 912-14,방배3동
2호선,봉천,37.482362,126.941892,서울 관악구 봉천동 979-7,청룡동
2호선,사당,37.47653,126.981685,서울 동작구 사당동 1129,남현동
2호선,삼성,37.508844,127.06316,서울 강남구 삼성동 172-66,대치2동
2호선,상왕십리,37.564354,127.029354,서울 성동구 하왕십리동 946-14,왕십리2동
2호선,서울대입구,37.481247,126.952739,서울 관악구 봉천동 979-1,중앙동
2호선,서초,37.491897,127.007917,서울 서초구 서초동 1748-5,서초3동
2호선,선릉,37.504503,127.049008,서울 강남구 삼성동 172-66,대치4동
2호선,성수,37.544581,127.055961,서울 성동구 성수동2가 300-1,성수2가3동
2호선,시청,37.564718,126.977108,서울 중구 을지로1가 50-1,소공동
2호선,신답,37.57004,127.046481,서울 성동구 용답동 129-2,용답동
2호선,신당,37.565972,127.01782,서울 중구 흥인동 15,신당동
2호선,신대방,37.487462,126.913149,서울 관악구 신림동 498,신사동
2호선,신도림,37.508725,126.891295,서울 구로구 신도림동 460-26,구로5동
2호선,신림,37.484201,126.929715,서울 관악구 신림동 1467-10,서원동
2호선,신설동,37.575297,127.025087,서울 동대문구 신설동 102-21,용신동
2호선,신정네거리,37.520074,126.852912,서울 양천구 신정동 1231,신정3동
2호선,신촌,37.555134,126.936893,서울 서대문구 창천동 30-16,신촌동
2호선,아현,37.557345,126.956141,서울 마포구 아현동 354-23,아현동
2호선,양천구청,37.512398,126.865819,서울 양천구 신정동 276,신정7동
2호선,역삼,37.500622,127.036456,서울 강남구 역삼동 804,역삼1동
2호선,영등포구청,37.52497,126.895951,서울 영등포구 당산동3가 270-1,당산1동
2호선,왕십리,37.561533,127.037732,서울 성동구 행당동 168-151,행당1동
2호선,용답,37.561904,127.050899,서울 성동구 사근동 237-1,용답동
2호선,용두,37.574028,127.038091,서울 동대문구 용두동 47-1,용신동
2호선,을지로3가,37.566295,126.99191,서울 중구 을지로3가 282-8,을지로동
2호선,을지로4가,37.566941,126.998079,서울 중구 주교동 191,을지로동
2호선,을지로입구,37.566014,126.982618,서울 중구 을지로1가 100-1,명동
2호선,이대,37.556733,126.946013,서울 마포구 염리동 8-85,대흥동
2호선,잠실,37.51395,127.102234,서울 송파구 신천동 8,잠실6동
2호선,잠실나루,37.520733,127.10379,서울 송파구 신천동 15,잠실6동
2호선,잠실새내,37.511687,127.086162,서울 송파구 잠실동 21,잠실2동
2호선,종합운동장,37.510997,127.073642,서울 송파구 잠실동 122,잠실7동
2호선,충정로,37.559973,126.963672,서울 서대문구 충정로3가 334,충현동
2호선,한양대,37.555273,127.043655,서울 성동구 행당동 산 17,사근동
2호선,합정,37.549463,126.913739,서울 마포구 합정동 402,합정동
2호선,홍대입구,37.557192,126.925381,서울 마포구 동교동 192-6,서교동
3호선,가락시장,37.492522,127.118234,서울 송파구 가락동 600,가락1동
3호선,경복궁,37.575762,126.97353,서울 종로구 적선동 81-1,사직동
3호선,경찰병원,37.495918,127.12454,서울 송파구 가락동 10-15,가락2동
3호선,고속터미널,37.50481,127.004943,서울 서초구 반포동 19-11,반포4동
3호선,교대,37.493415,127.01408,서울 서초구 서초동 1672-9,서초1동
3호선,구파발,37.636763,126.918821,서울특별시 은평구 진관2로 지하15-25,진관동
3호선,금호,37.548034,127.015872,서울 성동구 금호동4가 1470,금호4가동
3호선,남부터미널,37.485013,127.016189,서울 서초구 서초동 1748-30,서초3동
